timestamp,experiment_name,target_file,source_path,source_file,loop_id,prompt_version,config_tag,model,temperature,top_p,max_tokens,latency_ms,prompt_tokens,completion_tokens,total_tokens,template_type,template_depth,parsed_configuration,raw_response_snippet
2026-01-16T16:22:55.815025,rf_template_Deterministic,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template,glm47,glm-4.7,0.0,1.0,,4114.06,265,250,515,lmulti,1,"{""type"": ""lmulti"", ""depth"": 1, ""explanation"": ""The loop performs a single phase of computation where both variables increase. lmulti with depth 1 is the simplest template to represent this phase, which will subsequently be shown to have no valid decreasing ranking function, proving non-termination.""}","analysis: |   The loop body increments both variables `x` and `y` by 2 in a single phase.   Since variables are only increasing, this loop does not terminate under the assumption of unbounded integers"
2026-01-16T16:22:59.321615,rf_template_Balanced,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template,glm47,glm-4.7,0.7,0.9,,3504.42,265,207,472,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Both variables x and y increase monotonically. A single ranking component is sufficient to track the progress towards termination (e.g., remaining distance to an upper bound).""}","analysis: |   The loop body increments both variables `x` and `y` by 2. Since the loop condition is `unknown()`, we cannot assume a standard upper bound check (e.g., `x < N`). However, for the loop to"
2026-01-16T16:23:04.223417,rf_template_Creative,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template,glm47,glm-4.7,1.0,1.0,,4899.51,265,263,528,lmulti,1,"{""type"": ""lmulti"", ""depth"": 1, ""explanation"": ""The loop body contains increasing variables, so lnested is impossible. Use lmulti with depth=1 to introduce a single auxiliary counter (unbounded integer) to model the termination of the unknown() condition.""}","analysis: |   The loop body increments both variables `x` and `y` by 2 in each iteration. The loop depends on an unknown condition, implying that the loop may terminate arbitrarily (at which point the"
2026-01-16T16:23:10.126600,rf_template_autoverus_seahorn_v1_Deterministic,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,0.0,1.0,,5902.05,228,14,242,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-16T16:23:11.184962,rf_template_autoverus_seahorn_v1_Balanced,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,0.7,0.9,,1057.4,228,14,242,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-16T16:23:12.334188,rf_template_autoverus_seahorn_v1_Creative,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,1.0,1.0,,1148.62,228,14,242,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-16T16:23:15.527440,rf_template_fewshot_Deterministic,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template_fewshot,glm47,glm-4.7,0.0,1.0,,3192.29,473,175,648,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Both variables increase monotonically; linear progress toward an upper bound.""}","analysis: |   Both variables x and y increase monotonically by a constant positive amount (2) in every iteration. The loop depends on an unknown condition, so standard boundedness analysis requires a "
2026-01-16T16:23:18.743377,rf_template_fewshot_Balanced,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template_fewshot,glm47,glm-4.7,0.7,0.9,,3214.31,473,149,622,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Both variables increase monotonically; single linear progress is sufficient.""}","analysis: |   The loop body unconditionally increments both x and y by 2. Since there are no conditional branches or dependencies where one variable decreases while the other increases, the terminatio"
2026-01-16T16:23:21.217552,rf_template_fewshot_Creative,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template_fewshot,glm47,glm-4.7,1.0,1.0,,2472.55,473,123,596,lnested,2,"{""type"": ""lnested"", ""depth"": 2, ""explanation"": ""Two variables increase monotonically toward fixed upper bounds.""}","analysis: |   The loop body strictly increments both variables x and y by 2 in every iteration. Assuming loop termination, there must be implicit upper bounds on x and/or y (e.g., via uninterpreted pr"
2026-01-16T18:14:45.625878,rf_template_Deterministic,14_pmt_yamlv2_extract.yml,loop_invariants/code2inv/14.c,,1,rf_template,qwenplus,qwen-plus,0.0,1.0,,14350.46,272,411,683,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""No variable decreases; both x and y increase. Without a decreasing measure or phase behavior, no valid ranking function exists. A minimal lnested(1) is chosen as a placeholder, though it cannot prove termination.""}","```yaml analysis: |   The loop has no terminating condition that depends on the variables x or y, and both x and y are incremented by 2 in each iteration. There is no identified invariant that ensures"
