timestamp,experiment_name,target_file,source_path,source_file,loop_id,prompt_version,config_tag,model,temperature,top_p,max_tokens,latency_ms,prompt_tokens,completion_tokens,total_tokens,template_type,template_depth,parsed_configuration,raw_response_snippet
2026-01-16T16:09:12.683511,rf_template_Deterministic,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template,glm47,glm-4.7,0.0,1.0,,2829.88,267,161,428,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Variable i strictly increases, ensuring termination. A single component lex order (-i) is sufficient.""}","analysis: |   The loop condition relies on the variable `i`. The variable `sn` increases alongside `i`, but `sn` is not involved in the loop condition. The loop terminates when `i` exceeds `size`. Sin"
2026-01-16T16:09:17.570644,rf_template_Balanced,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template,glm47,glm-4.7,0.7,0.9,,4884.57,267,258,525,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""The variable i increases until it reaches size. The ranking function (size - i) strictly decreases by 1 in each iteration.""}","analysis: |   The loop iterates while `i <= size`. Inside the loop, both `i` and `sn` are incremented by 1 (`i = i + 1`, `sn = sn + 1`).   The variable `i` strictly increases with every iteration. Sin"
2026-01-16T16:09:21.361282,rf_template_Creative,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template,glm47,glm-4.7,1.0,1.0,,3788.15,267,217,484,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""The loop terminates because variable `i` increases strictly in every iteration (`i = i + 1`) while the condition `i <= size` bounds it. A single component ranking function (lexicographic depth 1) based on a term like `size - i` is sufficient.""}","analysis: |   The loop condition is `i <= size`. Inside the loop body, variable `i` is incremented by `i = i + 1`. Since `size` is a loop constant (it does not change within the loop), the variable `i"
2026-01-16T16:09:22.334684,rf_template_autoverus_seahorn_v1_Deterministic,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,0.0,1.0,,972.34,230,14,244,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-16T16:09:23.325385,rf_template_autoverus_seahorn_v1_Balanced,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,0.7,0.9,,989.74,230,14,244,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-16T16:09:25.950360,rf_template_autoverus_seahorn_v1_Creative,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,1.0,1.0,,2624.01,230,14,244,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-16T16:09:27.689326,rf_template_fewshot_Deterministic,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template_fewshot,glm47,glm-4.7,0.0,1.0,,1737.43,475,91,566,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Termination is driven by the monotonic increase of variable i towards its bound.""}",analysis: |   The loop increments both 'i' and 'sn' in each iteration.   The termination condition depends solely on 'i' reaching a bound (size).   Since 'i' increases monotonically and guarantees ter
2026-01-16T16:09:33.909987,rf_template_fewshot_Balanced,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template_fewshot,glm47,glm-4.7,0.7,0.9,,6219.03,475,131,606,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Single variable `i` increases monotonically toward the bound `size`.""}",analysis: |   The loop increments both `i` and `sn` in each iteration. The loop condition `i <= size` ensures that `i` increases until it reaches `size + 1`. Since `sn` increases alongside `i` but doe
2026-01-16T16:09:35.949170,rf_template_fewshot_Creative,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template_fewshot,glm47,glm-4.7,1.0,1.0,,2037.62,475,94,569,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Single monotone progress toward bound `size`.""}","analysis: |   The loop increments both `i` and `sn` in each iteration while `i` is bounded by `size`. Both variables are monotonic increasing, establishing a finite bound on the loop iterations. A sin"
2026-01-16T17:51:36.843711,rf_template_Deterministic,118_pmt_yamlv2_extract.yml,loop_invariants/code2inv/118.c,,1,rf_template,qwenplus,qwen-plus,0.0,1.0,,8107.45,274,259,533,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""The loop terminates due to the monotonic increase of `i` toward `size`. A single decreasing metric (`size - i`) proves termination. Depth 1 with lnested suffices.""}","```yaml analysis: |   The loop runs while `i <= size`, and in each iteration, both `i` and `sn` are incremented by 1. Since `i` is increased monotonically toward `size + 1`, its value will eventually "
