timestamp,experiment_name,target_file,source_path,source_file,loop_id,prompt_version,config_tag,model,temperature,top_p,max_tokens,latency_ms,prompt_tokens,completion_tokens,total_tokens,template_type,template_depth,parsed_configuration,raw_response_snippet
2026-01-19T00:02:47.483255,rf_template_Deterministic,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template,glm47,glm-4.7,0.0,1.0,,5857.0,324,183,507,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""The loop terminates because the quantity `j - i` strictly decreases. This can be captured by a single ranking function, making a depth of 1 sufficient.""}","analysis: |   The loop updates variables `i` and `j` simultaneously in every iteration: `i` increases by 2, and `j` decreases by 1.   Both variables are bounded by the loop condition `j >= i`. Since `"
2026-01-19T00:02:51.179947,rf_template_Balanced,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template,glm47,glm-4.7,0.7,0.9,,3694.7,324,211,535,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""The variable j decreases by 1 in every iteration, ensuring the loop guard j >= i eventually fails. A single component ranking function (j) is sufficient.""}","analysis: |   The loop condition is `j >= i`.   Inside the loop, `i` increases by 2 (`i = i + 2`) and `j` decreases by 1 (`j = j - 1`).   The loop terminates because `j` is strictly decreasing while `"
2026-01-19T00:02:55.457820,rf_template_Creative,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template,glm47,glm-4.7,1.0,1.0,,4275.91,324,252,576,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""The difference (j - i) decreases by 3 in every iteration, proving termination with a single ranking component.""}",analysis: |   The loop invariant `j >= i` indicates that the lower bound of `j` is dynamic and depends on the value of `i`. The loop updates are `i = i + 2` (increase) and `j = j - 1` (decrease).   To
2026-01-19T00:02:56.429021,rf_template_autoverus_seahorn_v1_Deterministic,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,0.0,1.0,,970.14,287,14,301,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-19T00:02:57.770587,rf_template_autoverus_seahorn_v1_Balanced,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,0.7,0.9,,1340.6,287,14,301,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-19T00:02:59.348769,rf_template_autoverus_seahorn_v1_Creative,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template_autoverus_seahorn_v1,glm47,glm-4.7,1.0,1.0,,1577.19,287,14,301,lnested,1,"{""type"": ""lnested"", ""depth"": 1}","configuration:   type: ""lnested""   depth: 1"
2026-01-19T00:03:02.597033,rf_template_fewshot_Deterministic,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template_fewshot,glm47,glm-4.7,0.0,1.0,,3246.34,532,169,701,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""j strictly decreases while i strictly increases; a single component ranking function (e.g., j - i) is sufficient to prove termination.""}",analysis: |   The loop updates variables i and j simultaneously. i increases by a constant (+2) and j decreases by a constant (-1) in every iteration. The termination condition `j >= i` establishes a 
2026-01-19T00:03:05.310352,rf_template_fewshot_Balanced,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template_fewshot,glm47,glm-4.7,0.7,0.9,,2711.56,532,163,695,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Single monotone decrease of the distance (j - i) ensures termination.""}","analysis: |   The loop condition is `j >= i`. Inside the loop, `i` increases by 2 and `j` decreases by 1. This creates a consistent decrease in the distance between `j` and `i`. Specifically, the expr"
2026-01-19T00:03:09.123927,rf_template_fewshot_Creative,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template_fewshot,glm47,glm-4.7,1.0,1.0,,3811.56,532,213,745,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""Monotonic decrease of the distance (j - i) (or j alone) ensures termination.""}",analysis: |   The loop updates variables `i` and `j` simultaneously in each iteration.   - `i` increases by 2 (`i = i + 2`).   - `j` decreases by 1 (`j = j - 1`).   The loop condition is `j >= i`.   W
2026-01-19T01:51:19.686714,rf_template_Deterministic,24_autoverus_seahorn_v1_inv.yml,loop_invariants/code2inv/24.c,24_pmt_yamlv2_extract.yml,1,rf_template,qwenplus,qwen-plus,0.0,1.0,,8793.88,331,374,705,lnested,1,"{""type"": ""lnested"", ""depth"": 1, ""explanation"": ""A single decreasing expression (e.g., j - i) ensures termination, decreasing by 3 each iteration. No phases or lexicographic ordering beyond one component is needed.""}","```yaml analysis: |   The loop runs as long as `j >= i`. Inside the loop:     - `i` increases by 2 in each iteration: i := i + 2     - `j` decreases by 1 in each iteration: j := j - 1    Therefore, th"
